Date,INFO 1st,INFO 2nd,ICICI 1st,ICICI 2nd,Tata 1st,Tata 2nd
6/23/2016,1212.1,1219.3,241.75,243.1,489.65,491.55
6/22/2016,1200.25,1207.35,239.4,240.85,473.75,475.7
6/21/2016,1207.35,1215.4,238.85,240.2,484.55,486.55
6/20/2016,1210.65,1217.6,239.25,240.55,482.4,484.25
6/17/2016,1182.05,1188.3,239,240.2,464.6,466.7
6/16/2016,1187.55,1194.4,240.25,241.6,455.75,457.95
6/15/2016,1192.35,1199.15,244.1,245.55,454.35,456.35
6/14/2016,1178.45,1185.05,241.25,242.35,449.65,451.5
6/13/2016,1186,1192.6,240.15,241.45,446.35,448.6
6/10/2016,1185.4,1191.8,248.9,250.3,459.25,461.5
6/9/2016,1192.35,1198.7,250.75,251.9,469.1,471.3
6/8/2016,1231.4,1238.5,253.05,254.4,468.95,471.15
6/7/2016,1251.1,1257.9,249.55,250.85,465.9,467.2
6/6/2016,1261.25,1267.1,239.95,241.25,464.05,466
6/3/2016,1260.6,1267.6,239.85,241.2,456.4,458.05
6/2/2016,1255.8,1261.75,238.15,239.5,454.9,456.25
6/1/2016,1252.05,1258.65,236.75,237.75,449.45,451.5
5/31/2016,1245.2,1254.2,241.45,242.95,457.6,459.8
5/30/2016,1258.2,1264.7,240.55,241.7,422.35,423.2
5/27/2016,1244.15,1250,239.4,240.55,406.4,407.15
5/26/2016,1234.15,1226.45,241.15,236.65,399.25,401.55
5/25/2016,1211.2,1205.65,234.55,231.3,397.85,400.05
5/24/2016,1189.9,1182.65,224.8,221.4,388.9,390.3
5/23/2016,1190.75,1184.15,221.4,217.95,382.8,384
5/20/2016,1204.45,1197.8,220.8,217.05,384.35,385.7
5/19/2016,1205.35,1198.85,225.55,221.75,385.85,387.8
5/18/2016,1210.45,1203.55,226.9,223.25,384.4,386.1
5/17/2016,1215.65,1208.2,226.65,223,389.15,390.9
5/16/2016,1218.9,1211.2,224.75,220.8,392.55,394.15
5/13/2016,1208.35,1201,226.7,223.15,390.1,391.45
5/12/2016,1211.95,1204.9,233,229.55,387.5,389.4
5/11/2016,1204.1,1196.5,224.35,220.6,381.55,383.55
5/10/2016,1218.05,1210.5,226.3,222.65,390.9,393.15
5/9/2016,1205.3,1198.25,226.2,222.5,403.8,405.7
5/6/2016,1184.4,1177.65,219.45,215.7,399.05,400.8
5/5/2016,1196.65,1190,216.05,212.4,391.6,393.7
5/4/2016,1193.25,1186.75,215.85,212.3,382.8,384.7
5/3/2016,1185.6,1178.85,222.5,218.95,410.85,412.55
5/2/2016,1206.3,1199.05,228.3,224.8,408.85,410.75
4/29/2016,1216.95,1209.65,238.3,234.7,411.05,412.9
4/28/2016,1209.15,1218.35,240.1,240.95,411.35,412.95
4/27/2016,1240.2,1246.75,245.25,246.35,418.3,420.35
4/26/2016,1234.05,1240.3,254.55,255.8,420,422.2
4/25/2016,1215.7,1221.1,253,254,412,414.05
4/22/2016,1214.2,1220.15,252.55,253.75,416.5,418.6
4/21/2016,1226.85,1233.15,252.8,253.9,411.05,413.1
4/20/2016,1245.6,1252.1,239.15,240.35,405.45,407.55
4/18/2016,1243.15,1249.5,237,237.9,407.3,409.5
4/13/2016,1176.15,1180.5,241.55,242.3,409,411.1
4/12/2016,1183.95,1188.3,229.05,229.7,396.75,398.4
4/11/2016,1187.8,1191.75,225.85,226.7,387.55,389.65
4/8/2016,1171.8,1174.4,222.35,222.9,373.05,375.15
4/7/2016,1186.6,1188.95,221.2,221.75,375.75,378.15
4/6/2016,1206.05,1207.05,223.6,224.05,378.25,380
4/5/2016,1223.7,1224.15,225.2,226,371.6,373.95
4/4/2016,1246.7,1248.5,238.95,239.6,390.15,392.15
4/1/2016,1211.7,1211.05,239.1,239.8,382.05,383.9
3/31/2016,1218.3,1226.45,236.65,237.75,386.6,388.5
3/30/2016,1207.6,1214.2,237.6,238.6,389.2,391.4
3/29/2016,1202.15,1208.9,224.25,225.45,374,376.25
3/28/2016,1208.65,1216.55,226.15,227.45,364.65,366.85
3/23/2016,1211.45,1217.95,234.85,235.9,377.95,380.05
3/22/2016,1191.3,1198.25,233.95,234.95,378,379.95
3/21/2016,1195.75,1202.95,235.05,235.85,375.55,377.95
3/18/2016,1193.9,1199.9,230,230.7,366.35,368.65
3/17/2016,1162.9,1169.25,227.25,228.05,361.3,363.05
3/16/2016,1157.8,1164.4,227.35,228.05,361.85,363.9
3/15/2016,1140.55,1146.3,222.1,222.75,361.55,363.55
3/14/2016,1143.85,1149.4,221.7,222.25,366.55,368.55
3/11/2016,1144.05,1149.2,214.45,215,354.75,356.6
3/10/2016,1145.3,1151,215.65,216.4,348.1,349.55
3/9/2016,1177.55,1182.25,216.5,217.15,349.35,350.9
3/8/2016,1159.3,1163.65,215.2,215.35,345.9,347.6
3/4/2016,1161.85,1167.5,219.4,219.75,343.95,345.55
3/3/2016,1161.9,1166.85,216.85,216.95,337.05,339
3/2/2016,1150.15,1153.5,219.1,219.45,318.05,318.9
3/1/2016,1128.5,1133.75,204.65,205.25,316.95,318.6
2/29/2016,1092.25,1097.4,190.25,190.7,301.75,303.35
2/26/2016,1129.1,1132.85,186.1,186.45,304,305.8
2/25/2016,1110.3,1115.1,183,184.25,298.2,300.2
2/24/2016,1124.7,1129.9,187.2,187.45,306.8,308.35
2/23/2016,1122.95,1127.95,191.85,191.95,318.55,319.85
2/22/2016,1126.35,1131.25,198.45,198.25,318.85,320.35
2/19/2016,1126.35,1131.5,198.9,198.6,318.45,319.95
2/18/2016,1121.3,1125.35,195.95,195.55,314.45,315.9
2/17/2016,1099.35,1105.3,191.55,191.3,311.4,312.65
2/16/2016,1082.85,1087.25,195.75,195.3,302.05,303.45
2/15/2016,1093.3,1097.9,202.85,202.5,317.2,318.35
2/12/2016,1087.6,1091.65,193.8,193.25,298.45,299.9
2/11/2016,1083.25,1088.4,198.15,197.6,277.1,277.85
2/10/2016,1114,1118,207.65,207.2,292.45,293.45
2/9/2016,1112.05,1116.85,209.25,208.9,312.25,314
2/8/2016,1150.1,1154.25,208.25,208.4,324.65,325.75
2/5/2016,1179.6,1183.7,210.2,209.9,338.7,340.1
2/4/2016,1181.6,1185.7,204.75,204.25,326.05,327.15
2/3/2016,1162.1,1167.2,204.7,204.3,321.15,321.85
2/2/2016,1176.7,1180.4,210.95,210.7,330.85,332.15
2/1/2016,1173.95,1176.9,217.15,216.95,339.65,340.35
1/29/2016,1167.1,1170.7,228.55,228.15,337.65,338.6
