"standard_deviations","x","x","x","z","z","z","corr_names"
"03-Jan-11","0.286699056696397","0.50135268705243","0.540361269600046","0.00985756106127358","0.000803576183951223","-0.113570148131466","Correlation/correlation-990.csv"
"06-Apr-11","0.271293041575453","0.446359016745431","0.507396823850693","0.0158125035034222","0.00629146303613299","-0.0874793802918149","Correlation/correlation-1055.csv"
"11-Jul-11","0.235462298384141","0.335534510607938","0.407641819519355","0.0227548815036669","0.00936726698991102","-0.0769228078061618","Correlation/correlation-1120.csv"
"14-Oct-11","0.252235684582705","0.323036933538252","0.394946662398346","0.0235310063302881","0.0118331347087308","-0.0517092266282905","Correlation/correlation-1185.csv"
"18-Jan-12","0.256369683643249","0.331026442021327","0.402332181627432","0.0298358938095802","0.0173636437668985","-0.0356237440527596","Correlation/correlation-1250.csv"
"24-Apr-12","0.274511273029747","0.342350523666463","0.392186098917043","0.0394539551099063","0.0271865597129959","-0.0191567820703264","Correlation/correlation-1315.csv"
"24-Jul-12","0.280035122703303","0.335247463862555","0.399490376812439","0.048489175763075","0.0404079967033751","-0.0117462465053847","Correlation/correlation-1380.csv"
"29-Oct-12","0.282552636649474","0.337136359650223","0.403797899965905","0.0506243626729173","0.047931049559975","-0.00365679389931855","Correlation/correlation-1445.csv"
"31-Jan-13","0.298775253700562","0.316621048014314","0.401528285969363","0.0531279762695628","0.0521972347372932","0.00173323262399316","Correlation/correlation-1510.csv"
"09-May-13","0.331358602704889","0.313949799493753","0.388609086364444","0.0533118532352079","0.053377998945763","0.0182795450309122","Correlation/correlation-1575.csv"
"07-Aug-13","0.341610557808421","0.319628841141653","0.388163980843336","0.0557126457985805","0.0610682015943245","0.0369656593841143","Correlation/correlation-1640.csv"
"13-Nov-13","0.321009521521935","0.331247859070761","0.36523853442226","0.0620879398100645","0.0683278321809282","0.0496332025904409","Correlation/correlation-1705.csv"
"14-Feb-14","0.311732114967448","0.320484473699727","0.353235486856412","0.0645072773198712","0.0742581988353736","0.0594337728183367","Correlation/correlation-1770.csv"
"26-May-14","0.304626423610907","0.315325751371186","0.342137567645121","0.064401257015267","0.0630810070164299","0.0648841397706219","Correlation/correlation-1835.csv"
"27-Aug-14","0.305641878290629","0.313632103575591","0.320971984011017","0.0624962669814298","0.0651984977665335","0.0712446316087267","Correlation/correlation-1900.csv"
